ReactiveX/RxJava,29439,5090
iluwatar/java-design-patterns,27552,2556
square/retrofit,25399,3354
square/okhttp,24038,8320
google/guava,20858,1749
JakeWharton/butterknife,19418,1467
bumptech/glide,19257,1096
spring-projects/spring-boot,18682,12887
square/picasso,14662,1415
Netflix/Hystrix,11969,1390
alibaba/fastjson,11839,2201
androidannotations/androidannotations,9933,1565
pockethub/PocketHub,9111,1293
SeleniumHQ/selenium,8734,3278
deeplearning4j/deeplearning4j,7904,3157
openzipkin/zipkin,7238,6463
perwendel/spark,6941,1147
prestodb/presto,6860,28665
junit-team/junit4,6600,1130
square/dagger,6573,1073
mybatis/mybatis-3,6344,1479
dropwizard/dropwizard,6219,4369
xetorthio/jedis,6001,2147
google/physical-web,5990,1372
gradle/gradle,5922,4559
druid-io/druid,5823,14348
mockito/mockito,5781,3169
brettwooldridge/HikariCP,5701,2756
wix/react-native-navigation,5529,3224
dropwizard/metrics,5383,1765
facebook/buck,5354,6822
naver/pinpoint,4996,4995
apache/storm,4686,8091
sparklemotion/nokogiri,4627,1226
swagger-api/swagger-core,4614,3218
square/javapoet,4460,1597
go-lang-plugin-org/go-lang-idea-plugin,4431,2157
AsyncHttpClient/async-http-client,4074,1215
Graylog2/graylog2-server,3921,11251
google/closure-compiler,3847,3492
robolectric/robolectric,3682,7237
b3log/solo,3571,1283
java-native-access/jna,3517,1312
grpc/grpc-java,3517,8879
k9mail/k-9,3493,1845
apereo/cas,3447,8529
joelittlejohn/jsonschema2pojo,3404,1013
ben-manes/caffeine,3388,2234
apache/zeppelin,3300,11488
shardingjdbc/sharding-jdbc,3291,2242
antlr/antlr4,3285,2124
airbnb/epoxy,3284,1128
orientechnologies/orientdb,3279,1893
zaproxy/zaproxy,3273,4034
actorapp/actor-platform,3198,1009
apache/flink,3045,21754
CellularPrivacy/Android-IMSI-Catcher-Detector,3035,2087
twitter/heron,3012,5848
ctripcorp/apollo,3008,1654
Activiti/Activiti,2898,1332
jankotek/mapdb,2894,1333
puniverse/quasar,2890,1626
OpenTSDB/opentsdb,2838,1096
siacs/Conversations,2655,2156
checkstyle/checkstyle,2627,13552
flyway/flyway,2622,1433
TeamNewPipe/NewPipe,2606,1842
pushtorefresh/storio,2569,1541
k0shk0sh/FastHub,2475,1359
vespa-engine/vespa,2359,3585
apache/groovy,2354,3438
owncloud/android,2346,7988
firebase/FirebaseUI-Android,2319,2167
SonarSource/sonarqube,2275,35633
aws/aws-sdk-java,2266,1587
grails/grails-core,2252,3458
vavr-io/vavr,2217,4416
square/wire,2195,2839
b3log/symphony,2135,3970
oblac/jodd,2126,1115
apache/cordova-android,2118,1145
jOOQ/jOOQ,2090,2849
MinecraftForge/MinecraftForge,2087,2267
spring-projects/spring-security,2046,1155
dreamhead/moco,1969,1590
apache/incubator-skywalking,1896,3315
mongodb/mongo-java-driver,1886,2521
square/keywhiz,1851,1820
crate/crate,1851,31078
brianfrankcooper/YCSB,1830,1449
keycloak/keycloak,1826,8942
raphw/byte-buddy,1800,2412
immutables/immutables,1789,1394
bitcoinj/bitcoinj,1744,2039
graphql-java/graphql-java,1736,1779
Freeyourgadget/Gadgetbridge,1709,2604
spring-cloud/spring-cloud-netflix,1707,1524
languagetool-org/languagetool,1694,6334
nutzam/nutz,1685,2209
linkedin/pinot,1674,7097
junit-team/junit5,1663,5471
apache/hive,1634,4759
ratpack/ratpack,1625,1970
cucumber/cucumber-jvm,1605,2187
jMonkeyEngine/jmonkeyengine,1603,2104
Rajawali/Rajawali,1599,1101
wordpress-mobile/WordPress-Android,1597,23779
killbill/killbill,1564,3657
apache/beam,1561,11952
timmolter/XChange,1559,3382
querydsl/querydsl,1552,5238
igniterealtime/Smack,1550,1331
azkaban/azkaban,1508,3254
FasterXML/jackson-databind,1504,2500
twosigma/beakerx,1501,6320
apache/incubator-pulsar,1468,2079
apache/jmeter,1455,3352
javaparser/javaparser,1447,2301
twitter/commons,1443,1365
hidroh/materialistic,1435,2222
graphhopper/graphhopper,1410,3731
igniterealtime/Openfire,1408,2700
gchq/Gaffer,1382,7087
syncany/syncany,1367,1160
floragunncom/search-guard,1356,3751
jphp-compiler/jphp,1346,1355
OryxProject/oryx,1301,1298
pmd/pmd,1296,1788
jmxtrans/jmxtrans,1285,1482
yahoo/squidb,1285,1112
apache/kylin,1231,2825
mongodb/morphia,1227,1095
orbit/orbit,1188,1354
osmdroid/osmdroid,1187,1134
stagemonitor/stagemonitor,1178,1486
apache/commons-lang,1166,1106
tananaev/traccar,1152,3910
apache/incubator-gobblin,1145,6595
elastic/elasticsearch-hadoop,1140,1772
reactor/reactor-core,1138,2929
apache/geode,1116,5681
uber/okbuck,1114,2119
eclipse/openj9,1114,2929
thingsboard/thingsboard,1094,1075
pac4j/pac4j,1089,2189
Grover-c13/PokeGOAPI-Java,1072,1474
spring-projects/spring-data-jpa,1047,1341
ankidroid/Anki-Android,1043,3921
JanusGraph/janusgraph,1033,1330
joel-costigliola/assertj-core,1029,1318
sk89q/WorldEdit,1018,1825
simpligility/android-maven-plugin,1005,1253
